ID,date,away,home,location,url
2021-07-03-PHI-PIT,2021-07-03,Philadelphia Phoenix,Pittsburgh Thunderbirds,JC Stone Field,https://theaudl.com/stats/game/2021-07-03-PHI-PIT
2021-07-03-RAL-TB,2021-07-03,Raleigh Flyers,Tampa Bay Cannons,Campbell Park ,https://theaudl.com/stats/game/2021-07-03-RAL-TB
2021-07-03-MAD-IND,2021-07-03,Madison Radicals,Indianapolis AlleyCats,Grand Park,https://theaudl.com/stats/game/2021-07-03-MAD-IND
2021-07-03-SEA-DAL,2021-07-03,Seattle Cascades,Dallas Roughnecks, John Paul II High School,https://theaudl.com/stats/game/2021-07-03-SEA-DAL
2021-07-09-PHI-NY,2021-07-09,Philadelphia Phoenix,New York Empire,Joseph F. Fosina Field,https://theaudl.com/stats/game/2021-07-09-PHI-NY
2021-07-09-AUS-DAL,2021-07-09,Austin Sol,Dallas Roughnecks, John Paul II High School,https://theaudl.com/stats/game/2021-07-09-AUS-DAL
2021-07-10-TB-RAL,2021-07-10,Tampa Bay Cannons,Raleigh Flyers,Durham County Stadium,https://theaudl.com/stats/game/2021-07-10-TB-RAL
2021-07-10-CHI-MAD,2021-07-10,Chicago Union,Madison Radicals,Breese Stevens Field,https://theaudl.com/stats/game/2021-07-10-CHI-MAD
2021-07-10-DC-ATL,2021-07-10,DC Breeze,Atlanta Hustle,St Pius HS Field,https://theaudl.com/stats/game/2021-07-10-DC-ATL
2021-07-10-PHI-BOS,2021-07-10,Philadelphia Phoenix,Boston Glory,Hormel Stadium,https://theaudl.com/stats/game/2021-07-10-PHI-BOS
2021-07-10-MIN-IND,2021-07-10,Minnesota Wind Chill,Indianapolis AlleyCats,Grand Park,https://theaudl.com/stats/game/2021-07-10-MIN-IND
2021-07-10-AUS-DAL,2021-07-10,Austin Sol,Dallas Roughnecks, John Paul II High School,https://theaudl.com/stats/game/2021-07-10-AUS-DAL
2021-07-11-MIN-CHI,2021-07-11,Minnesota Wind Chill,Chicago Union,Langhorst Field,https://theaudl.com/stats/game/2021-07-11-MIN-CHI
2021-07-16-DAL-SEA,2021-07-16,Dallas Roughnecks,Seattle Cascades,Seattle Memorial Stadium,https://theaudl.com/stats/game/2021-07-16-DAL-SEA
2021-07-16-ATL-PHI,2021-07-16,Atlanta Hustle,Philadelphia Phoenix,South Philadelphia Super Site,https://theaudl.com/stats/game/2021-07-16-ATL-PHI
2021-07-17-RAL-PIT,2021-07-17,Raleigh Flyers,Pittsburgh Thunderbirds,JC Stone Field,https://theaudl.com/stats/game/2021-07-17-RAL-PIT
2021-07-17-DET-MIN,2021-07-17,Detroit Mechanix,Minnesota Wind Chill,Sea Foam Stadium,https://theaudl.com/stats/game/2021-07-17-DET-MIN
